"satisfaction","customer_type","age","travel_type","cabin_class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","row_id","arr_delay_res","midfly_delay","log_mid_delay","log_dep_delay"
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",1278,4,2,4,4,4,4,4,4,4,1,4,3,3,4,0,0,33168,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",26,"Personal Travel","Eco Plus",1737,4,2,4,4,4,4,4,4,1,3,3,3,3,4,12,2,33181,-10.5036537085928,-10,-2.39789527279837,2.56494935746154
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",908,4,3,4,1,3,5,1,1,1,4,1,5,1,2,76,80,33306,4.85000260293023,4,1.6094379124341,4.34380542185368
"dissatisfied","Loyal Customer",24,"Personal Travel","Eco",2126,4,3,4,2,2,4,1,2,1,5,5,3,3,2,16,14,33393,-2.41905018912259,-2,-1.09861228866811,2.83321334405622
"dissatisfied","Loyal Customer",18,"Personal Travel","Eco",985,4,3,4,2,4,4,4,4,3,4,5,3,3,4,0,0,33411,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",2085,4,3,4,3,5,4,5,5,4,4,3,3,3,5,0,0,33527,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",21,"Personal Travel","Eco",1796,4,3,4,3,5,4,3,5,2,2,3,1,3,5,0,0,33625,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",26,"Personal Travel","Eco",1521,4,3,4,3,4,4,4,4,2,5,4,2,2,4,0,0,33629,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",49,"Personal Travel","Eco",278,4,3,4,3,3,4,4,5,5,4,5,3,5,3,0,0,33643,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",27,"Personal Travel","Eco Plus",2584,4,3,4,4,1,4,1,1,2,3,3,1,3,1,0,0,33736,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco Plus",1941,4,4,0,4,0,5,5,1,1,3,3,5,4,5,169,158,33979,-8.18296556938783,-11,-2.484906649788,5.13579843705026
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",3829,4,4,4,1,3,4,3,3,3,5,4,3,5,3,5,1,34172,-4.65170986766561,-4,-1.6094379124341,1.79175946922805
"dissatisfied","Loyal Customer",24,"Personal Travel","Eco",2007,4,4,4,1,1,4,4,1,2,5,1,3,5,1,0,0,34323,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",34,"Personal Travel","Eco",1931,4,4,4,2,1,4,1,1,4,4,5,5,4,1,0,0,34617,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2380,4,4,4,2,2,4,2,2,5,5,5,4,5,2,0,0,34678,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",7,"Personal Travel","Business",2295,4,4,4,3,1,4,1,1,5,4,4,3,4,1,24,10,34994,-14.2498431501822,-14,-2.70805020110221,3.2188758248682
"satisfied","Loyal Customer",64,"Personal Travel","Eco",2406,4,4,4,3,4,3,3,5,4,2,3,3,3,3,165,146,35089,-16.267569088858,-19,-2.99573227355399,5.11198778835654
"dissatisfied","Loyal Customer",24,"Personal Travel","Eco",2132,4,4,4,3,2,4,2,2,3,4,4,5,4,2,0,0,35122,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1546,4,4,4,3,5,4,5,5,1,2,3,2,3,5,0,0,35346,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1811,4,4,4,4,4,4,4,4,4,2,4,3,4,4,0,18,35764,17.2425357329967,18,2.94443897916644,0
"dissatisfied","Loyal Customer",59,"Personal Travel","Eco",1874,4,4,4,4,3,4,3,3,4,2,5,5,5,3,0,0,35767,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco Plus",1551,4,4,4,4,3,4,3,3,4,4,5,2,1,3,0,0,35922,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco Plus",2327,4,4,4,5,2,4,2,2,3,5,3,5,5,2,26,11,35969,-15.2075413904471,-15,-2.77258872223978,3.29583686600433
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2176,4,4,4,5,5,4,5,5,2,1,4,4,5,5,0,0,36007,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2069,4,4,4,5,2,4,1,2,5,2,4,5,4,2,4,0,36038,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"dissatisfied","Loyal Customer",24,"Personal Travel","Eco",1778,4,4,4,5,4,4,4,4,4,2,3,2,2,4,59,49,36089,-9.50956235481807,-10,-2.39789527279837,4.0943445622221
"satisfied","Loyal Customer",60,"Personal Travel","Business",134,4,4,4,5,4,4,5,2,2,4,4,3,2,3,0,0,36106,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",966,4,4,5,3,4,5,1,4,4,5,4,5,4,5,0,1,36164,0.242535732996651,1,0.693147180559945,0
"dissatisfied","Loyal Customer",13,"Personal Travel","Eco",3298,4,4,5,5,4,5,2,4,3,2,5,4,5,4,0,0,36214,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",7,"Personal Travel","Eco",2327,4,5,2,3,4,2,4,4,3,5,5,3,5,4,0,0,36302,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco Plus",1969,4,5,4,1,4,4,4,4,3,3,4,3,1,4,0,0,36540,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco",412,4,5,4,1,3,5,4,2,2,4,2,3,2,5,0,0,36642,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",306,4,5,4,1,5,5,5,2,2,4,2,5,2,4,0,0,36671,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1416,4,5,4,1,5,4,5,5,5,3,4,4,5,5,0,9,36715,8.24253573299665,9,2.30258509299405,0
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco",2210,4,5,4,2,1,4,1,1,5,2,5,5,5,1,0,0,36812,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco",1645,4,5,4,2,3,4,3,3,3,4,5,5,5,3,0,0,36952,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",55,"Personal Travel","Eco",2007,4,5,4,2,1,4,1,1,5,2,4,3,5,1,0,0,36953,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1952,4,5,4,3,5,5,5,1,1,4,1,5,1,5,0,0,37120,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",11,"Personal Travel","Eco",3277,4,5,4,3,2,4,2,2,4,5,4,3,5,2,6,5,37124,-1.63055898779807,-1,-0.693147180559945,1.94591014905531
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1561,4,5,4,3,5,4,5,5,5,5,5,4,4,5,0,0,37428,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",66,"Personal Travel","Eco",1769,4,5,4,3,4,4,4,4,4,3,5,4,5,4,1,0,37479,-1.7363133871358,-1,-0.693147180559945,0.693147180559945
"satisfied","Loyal Customer",8,"Personal Travel","Eco",2460,4,5,4,4,5,4,5,5,4,5,5,3,5,5,4,0,37685,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"dissatisfied","Loyal Customer",33,"Personal Travel","Eco",996,4,5,4,4,5,4,5,5,1,5,2,4,3,5,0,0,37948,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",1693,4,5,4,5,5,4,5,5,3,4,5,4,5,5,0,0,38007,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",57,"Personal Travel","Eco",647,4,5,4,5,4,5,5,5,5,4,5,5,5,4,0,0,38041,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",332,4,5,4,5,2,4,5,1,1,4,1,5,1,4,0,0,38100,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",42,"Personal Travel","Business",2513,5,1,5,1,2,1,1,2,2,5,2,3,2,1,11,0,38288,-11.5248045884603,-11,-2.484906649788,2.484906649788
"satisfied","Loyal Customer",55,"Personal Travel","Eco",2237,5,1,5,3,4,5,3,4,1,2,4,1,3,4,114,116,38332,3.65373603789703,2,1.09861228866811,4.74493212836325
"satisfied","Loyal Customer",55,"Personal Travel","Eco",838,5,2,5,2,5,3,3,5,5,5,5,1,5,2,0,4,38438,3.24253573299665,4,1.6094379124341,0
"satisfied","Loyal Customer",41,"Personal Travel","Eco",1760,5,2,5,3,3,5,3,3,4,4,3,1,3,3,0,0,38505,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",63,"Personal Travel","Eco",2376,5,2,5,4,5,3,3,5,5,5,5,3,5,4,11,0,38513,-11.5248045884603,-11,-2.484906649788,2.484906649788
"satisfied","Loyal Customer",22,"Personal Travel","Eco",3470,5,3,5,4,1,5,1,1,4,1,1,5,3,1,0,0,38688,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",24,"Personal Travel","Eco",1328,5,4,5,1,1,5,1,1,5,4,4,4,4,1,0,0,38847,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",52,"Personal Travel","Eco",873,5,4,5,2,4,4,5,3,3,5,3,4,3,4,0,0,38913,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",55,"Personal Travel","Eco",1885,5,4,5,2,2,5,2,2,5,4,5,5,5,2,0,0,38966,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",28,"Personal Travel","Eco",1939,5,4,5,3,3,5,3,3,3,4,3,2,4,3,0,0,39049,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",35,"Personal Travel","Eco",1497,5,5,2,2,2,2,2,2,3,5,4,3,5,2,0,4,39328,3.24253573299665,4,1.6094379124341,0
"satisfied","Loyal Customer",44,"Personal Travel","Eco",2698,5,5,4,4,2,4,3,2,4,5,4,1,3,2,0,0,39354,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",24,"Personal Travel","Eco",1087,5,5,5,2,5,5,1,5,3,4,4,3,5,5,0,0,39551,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",14,"Personal Travel","Eco",3688,5,5,5,3,1,5,1,1,1,4,5,1,2,1,8,7,39556,-1.58825722806297,-1,-0.693147180559945,2.19722457733622
"satisfied","Loyal Customer",64,"Personal Travel","Eco",2074,5,5,5,3,1,5,1,1,3,5,5,3,5,1,31,3,39611,-28.1017869911094,-28,-3.36729582998647,3.46573590279973
"satisfied","Loyal Customer",69,"Personal Travel","Eco",3518,5,5,5,4,5,5,5,5,3,2,5,4,5,5,8,0,39702,-8.58825722806297,-8,-2.19722457733622,2.19722457733622
"satisfied","disloyal Customer",28,"Business travel","Business",2550,0,0,0,3,2,0,3,2,4,4,5,3,4,2,0,4,40095,3.24253573299665,4,1.6094379124341,0
"satisfied","disloyal Customer",26,"Business travel","Business",2069,0,0,0,3,1,0,1,1,3,2,4,5,5,1,0,0,40129,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",25,"Business travel","Business",2367,0,0,0,4,2,0,2,2,5,3,4,3,5,2,0,0,40251,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",24,"Business travel","Business",2053,0,0,0,4,0,4,4,4,4,5,4,4,4,4,168,178,40273,12.7958835507446,10,2.39789527279837,5.12989871492307
"satisfied","disloyal Customer",20,"Business travel","Eco",1526,0,0,0,4,2,0,2,2,3,3,3,3,2,2,0,0,40293,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",37,"Business travel","Eco",1069,0,0,0,4,3,0,3,3,2,4,3,2,1,3,0,0,40303,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",21,"Business travel","Eco",1605,0,0,0,4,2,0,2,2,3,2,4,4,4,2,3,4,40310,0.305988372599293,1,0.693147180559945,1.38629436111989
"satisfied","disloyal Customer",25,"Business travel","Business",1918,0,0,1,1,1,1,1,1,4,3,4,5,5,1,0,0,40384,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",24,"Business travel","Business",2587,0,3,0,3,4,0,4,4,3,3,4,4,4,4,13,0,40487,-13.4825028287252,-13,-2.63905732961526,2.63905732961526
"dissatisfied","disloyal Customer",31,"Business travel","Eco",1855,1,0,0,3,5,0,5,5,5,2,2,2,4,5,0,0,40796,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",36,"Business travel","Eco",1770,1,0,1,3,3,1,3,3,2,5,2,5,4,3,7,3,41044,-4.60940810793052,-4,-1.6094379124341,2.07944154167984
"dissatisfied","disloyal Customer",20,"Business travel","Eco",2073,1,0,1,4,5,1,5,5,3,5,5,4,4,5,0,0,41132,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",36,"Business travel","Business",1589,1,1,1,1,3,1,3,3,5,5,4,3,4,3,4,0,41379,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2809,1,1,1,2,2,1,2,2,3,3,3,3,3,2,44,44,41627,0.173174447168731,0,0,3.80666248977032
"dissatisfied","disloyal Customer",36,"Business travel","Business",1896,1,1,1,2,5,1,5,5,4,1,2,3,2,5,0,25,41665,24.2425357329967,25,3.25809653802148,0
"dissatisfied","disloyal Customer",27,"Business travel","Eco Plus",2047,1,1,1,2,1,1,1,1,1,2,2,3,3,1,0,0,41743,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",29,"Business travel","Eco",3644,1,1,1,3,4,1,4,4,3,5,4,1,3,4,0,0,41848,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",18,"Business travel","Eco",2568,1,1,1,3,5,1,5,5,4,5,4,2,3,5,0,0,41953,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",40,"Business travel","Business",1580,1,1,1,3,3,1,3,3,5,2,5,2,3,3,0,0,41988,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",39,"Business travel","Business",1795,1,1,1,3,1,1,1,1,5,3,4,3,4,1,0,6,42009,5.24253573299665,6,1.94591014905531,0
"dissatisfied","disloyal Customer",36,"Business travel","Business",1040,1,1,1,3,5,1,5,5,4,3,3,2,4,5,4,11,42170,6.32713925246684,7,2.07944154167984,1.6094379124341
"dissatisfied","disloyal Customer",33,"Business travel","Eco",2150,1,1,1,3,5,1,5,5,1,2,3,3,4,5,0,0,42483,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",39,"Business travel","Business",1578,1,1,1,4,1,1,1,1,1,2,3,3,3,1,0,7,42719,6.24253573299665,7,2.07944154167984,0
"dissatisfied","disloyal Customer",27,"Business travel","Eco",1749,1,1,1,4,3,1,3,3,1,3,3,2,4,3,16,16,43067,-0.419050189122593,0,0,2.83321334405622
"dissatisfied","disloyal Customer",36,"Business travel","Eco",1305,1,2,1,3,2,1,2,2,2,1,3,1,3,2,0,0,43397,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",18,"Business travel","Eco Plus",1982,1,2,1,3,5,1,5,5,3,1,3,3,2,5,0,0,43410,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1285,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,43415,-4.24984315018221,-4,-1.6094379124341,3.2188758248682
"dissatisfied","disloyal Customer",54,"Business travel","Business",2170,1,2,2,3,1,1,5,1,1,5,1,5,1,1,113,101,43579,-10.3674148419705,-12,-2.56494935746154,4.7361984483945
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1249,1,3,1,2,4,1,4,4,3,5,2,5,2,4,0,5,43740,4.24253573299665,5,1.79175946922805,0
"dissatisfied","disloyal Customer",21,"Business travel","Eco",2062,1,4,1,3,5,1,1,5,1,4,4,1,3,5,3,0,44059,-3.69401162740071,-3,-1.38629436111989,1.38629436111989
"dissatisfied","disloyal Customer",22,"Business travel","Business",2266,1,4,1,4,1,1,1,1,3,3,4,4,4,1,0,8,44152,7.24253573299665,8,2.19722457733622,0
"dissatisfied","disloyal Customer",39,"Business travel","Eco",980,2,0,1,3,5,1,5,5,5,5,5,5,1,5,0,0,44395,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",39,"Business travel","Eco",1822,2,0,2,1,3,2,3,3,2,3,4,1,1,3,2,0,44496,-2.71516250726825,-2,-1.09861228866811,1.09861228866811
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1945,2,0,2,1,3,2,3,3,3,5,3,5,2,3,0,0,44538,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",22,"Business travel","Eco",1827,2,0,2,2,5,2,5,5,3,2,5,3,4,5,45,30,44545,-14.8056746729637,-15,-2.77258872223978,3.8286413964891
"dissatisfied","disloyal Customer",25,"Business travel","Business",2194,2,0,2,2,3,2,3,3,4,2,5,3,5,3,2,0,44554,-2.71516250726825,-2,-1.09861228866811,1.09861228866811
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1108,2,0,2,2,1,2,1,1,4,5,5,3,5,1,0,0,44623,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",63,"Business travel","Eco",2413,2,0,2,4,2,2,2,5,5,5,5,2,5,2,217,217,44862,3.83227666425444,0,0,5.38449506278909
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1914,2,0,2,5,3,2,3,3,5,3,4,4,1,3,0,0,45014,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1123,2,0,2,5,1,2,1,1,4,4,5,4,5,1,0,7,45033,6.24253573299665,7,2.07944154167984,0
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2136,2,0,3,5,1,3,1,1,2,3,4,1,5,1,0,0,45113,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1939,2,1,1,1,3,1,3,3,5,4,5,3,4,3,0,0,45122,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2628,2,1,1,2,2,1,2,2,3,4,4,5,5,2,0,2,45164,1.24253573299665,2,1.09861228866811,0
"dissatisfied","disloyal Customer",42,"Business travel","Business",1639,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0,45356,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",32,"Business travel","Eco",2304,2,1,2,3,3,2,3,3,1,2,4,4,4,3,34,23,45478,-11.0383343515067,-11,-2.484906649788,3.55534806148941
"dissatisfied","disloyal Customer",27,"Business travel","Eco",1607,2,1,2,3,3,2,3,3,2,1,3,3,3,3,112,95,45504,-15.3885657218381,-17,-2.89037175789616,4.72738781871234
"dissatisfied","disloyal Customer",48,"Business travel","Eco",1236,2,1,3,3,2,3,2,2,3,5,3,2,3,2,0,0,45652,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",25,"Business travel","Eco",2210,2,2,1,3,5,1,5,5,2,3,4,4,3,5,39,41,45667,2.06742004783099,2,1.09861228866811,3.68887945411394
"dissatisfied","disloyal Customer",37,"Business travel","Business",4077,2,2,2,1,2,5,5,4,4,3,4,5,4,5,0,4,45830,3.24253573299665,4,1.6094379124341,0
"dissatisfied","disloyal Customer",27,"Business travel","Business",1706,2,2,2,1,4,2,5,4,5,2,4,5,5,4,0,0,46041,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",64,"Business travel","Business",2179,2,2,2,2,5,2,5,5,5,4,4,4,4,5,0,0,46093,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",54,"Business travel","Eco Plus",2158,2,2,2,2,1,2,1,1,3,5,1,4,2,1,27,32,46113,4.81360948942043,5,1.79175946922805,3.3322045101752
"dissatisfied","disloyal Customer",27,"Business travel","Business",1933,2,2,2,2,2,2,2,2,3,4,5,5,5,2,15,11,46489,-4.44020106899014,-4,-1.6094379124341,2.77258872223978
"dissatisfied","disloyal Customer",26,"Business travel","Business",2460,2,2,2,2,1,2,2,1,4,3,4,3,4,1,0,18,46514,17.2425357329967,18,2.94443897916644,0
"dissatisfied","disloyal Customer",62,"Business travel","Business",1342,2,2,2,3,2,2,2,2,3,3,3,2,2,2,0,0,46607,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",26,"Business travel","Eco",4054,2,2,2,3,2,5,5,1,2,3,3,5,4,5,0,0,46619,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",40,"Business travel","Business",2494,2,2,2,3,4,2,4,4,1,2,3,3,3,4,0,0,46896,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",50,"Business travel","Eco",2725,2,2,2,3,4,2,4,4,3,2,4,4,3,4,5,12,46930,6.34829013233439,7,2.07944154167984,1.79175946922805
"dissatisfied","disloyal Customer",13,"Business travel","Eco",2521,2,2,2,3,3,2,3,3,1,1,5,2,3,3,0,2,47033,1.24253573299665,2,1.09861228866811,0
"dissatisfied","disloyal Customer",46,"Business travel","Eco",2078,2,2,2,3,3,2,3,3,1,5,4,3,4,3,43,28,47078,-14.8479764326988,-15,-2.77258872223978,3.78418963391826
"dissatisfied","disloyal Customer",36,"Business travel","Business",2817,2,2,2,3,4,2,4,4,4,5,4,3,4,4,0,0,47115,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",21,"Business travel","Eco",2636,2,2,2,3,5,2,5,5,3,3,5,5,4,5,0,0,47168,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",35,"Business travel","Business",1302,2,2,2,3,4,2,4,4,4,5,4,4,5,4,0,0,47233,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2112,2,2,2,3,4,2,4,4,2,1,1,3,5,4,0,0,47254,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",32,"Business travel","Business",1888,2,2,2,3,2,2,1,2,5,3,5,3,5,2,0,0,47342,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",34,"Business travel","Eco",2295,2,2,2,3,4,2,4,4,4,1,3,5,1,4,3,10,47533,6.30598837259929,7,2.07944154167984,1.38629436111989
"dissatisfied","disloyal Customer",27,"Business travel","Business",1052,2,2,2,3,3,2,3,3,3,2,4,4,4,3,0,0,47609,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",26,"Business travel","Business",2946,2,2,2,3,4,2,4,4,5,5,3,2,4,4,0,0,47660,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",38,"Business travel","Eco",1272,2,2,2,3,2,2,2,2,4,4,3,2,4,2,5,0,47855,-5.65170986766561,-5,-1.79175946922805,1.79175946922805
"dissatisfied","disloyal Customer",50,"Business travel","Eco Plus",1507,2,2,2,4,3,2,4,3,4,2,1,5,1,3,0,0,47975,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",47,"Business travel","Business",2504,2,2,2,4,5,2,5,5,4,5,4,3,5,5,0,0,48011,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",28,"Business travel","Eco",2129,2,2,2,4,3,2,3,3,2,1,2,3,4,3,53,52,48013,-0.636467634023349,-1,-0.693147180559945,3.98898404656427
"dissatisfied","disloyal Customer",9,"Business travel","Eco",2106,2,2,2,4,5,2,3,5,2,1,4,1,3,5,0,4,48081,3.24253573299665,4,1.6094379124341,0
"satisfied","disloyal Customer",22,"Business travel","Eco",2523,2,2,2,4,5,2,5,5,5,3,4,4,5,5,0,0,48225,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",37,"Business travel","Business",1599,2,2,2,4,2,2,2,2,1,3,4,3,3,2,0,8,48292,7.24253573299665,8,2.19722457733622,0
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2215,2,2,2,4,1,2,1,1,4,1,4,2,5,1,0,0,48299,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1857,2,2,2,4,4,2,4,4,1,1,4,3,3,4,0,0,48317,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",26,"Business travel","Eco",2061,2,2,2,4,2,2,2,2,4,5,3,3,4,2,4,34,48406,29.3271392524668,30,3.43398720448515,1.6094379124341
"dissatisfied","disloyal Customer",32,"Business travel","Business",1670,2,2,2,4,3,2,4,3,1,5,4,1,4,3,12,14,48456,1.49634629140722,2,1.09861228866811,2.56494935746154
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1851,2,2,2,4,1,2,1,1,3,1,4,4,3,1,0,0,48831,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",37,"Business travel","Business",1813,2,2,2,5,4,2,4,4,3,2,4,3,4,4,0,0,48947,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1518,2,2,2,5,1,2,1,1,2,2,5,3,5,1,0,0,49033,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1736,2,3,2,4,5,2,5,5,1,1,4,2,3,5,0,0,49400,-0.757464267003349,0,0,0
"satisfied","disloyal Customer",38,"Business travel","Business",1300,2,3,3,1,2,3,2,2,4,2,4,3,4,2,17,35,49454,17.602100690745,18,2.94443897916644,2.89037175789616
"dissatisfied","disloyal Customer",39,"Business travel","Business",2919,2,3,3,2,1,3,1,1,3,4,5,5,4,1,0,0,49472,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",36,"Business travel","Business",2527,2,3,3,4,2,3,3,2,3,2,5,4,5,2,0,0,49629,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",20,"Business travel","Eco",2032,2,4,1,3,1,1,1,1,3,1,4,1,3,1,0,0,49711,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",26,"Business travel","Business",1725,2,4,2,3,2,2,2,2,4,5,4,3,4,2,4,0,49809,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"dissatisfied","disloyal Customer",38,"Business travel","Eco",1315,2,5,1,2,1,1,1,1,4,1,5,3,3,1,42,28,50156,-13.8691273125664,-14,-2.70805020110221,3.76120011569356
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1523,2,5,2,4,3,2,2,3,5,2,5,3,5,3,0,0,50299,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",26,"Business travel","Eco Plus",1550,2,5,2,5,4,2,4,4,4,5,3,4,1,4,0,35,50341,34.2425357329967,35,3.58351893845611,0
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1668,2,5,2,5,2,2,2,2,2,5,1,3,2,2,0,4,50356,3.24253573299665,4,1.6094379124341,0
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1235,2,5,2,5,1,2,2,1,3,4,3,2,3,1,0,0,50361,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1579,3,0,2,3,1,2,4,1,1,2,3,1,5,1,0,0,50406,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",25,"Business travel","Business",1502,3,0,3,1,3,3,3,3,5,4,5,3,5,3,0,0,50463,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",54,"Business travel","Eco",1588,3,0,3,1,4,3,1,4,2,2,2,2,4,4,0,0,50475,-0.757464267003349,0,0,0
"dissatisfied","disloyal Customer",24,"Business travel","Eco",2172,3,0,3,3,2,3,2,2,4,4,1,5,1,2,96,102,50677,7.27302020028118,6,1.94591014905531,4.57471097850338
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1197,3,0,3,4,4,3,1,4,2,4,1,3,5,4,11,15,50885,3.47519541153967,4,1.6094379124341,2.484906649788
"dissatisfied","disloyal Customer",25,"Business travel","Business",1679,3,0,3,5,2,3,2,2,3,3,4,5,5,2,0,0,50949,-0.757464267003349,0,0,0
