"satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","structural_zero_flag","ArrivalDelay.Residual"
"satisfied","Loyal Customer",36,"Personal Travel","Eco Plus",1827,5,4,5,1,5,5,5,5,5,5,2,2,3,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",37,"Personal Travel","Eco",2733,5,4,5,2,2,5,2,2,4,4,1,4,2,2,1,0,FALSE,-1.7363133871358
"satisfied","Loyal Customer",33,"Personal Travel","Eco",2109,5,4,5,3,2,5,2,2,4,3,4,4,4,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",57,"Personal Travel","Eco",343,5,4,5,3,5,5,5,4,4,5,4,3,4,3,1,2,FALSE,0.263686612864197
"satisfied","Loyal Customer",38,"Personal Travel","Eco",1448,5,4,5,3,4,5,2,4,5,4,5,5,5,4,11,4,FALSE,-7.52480458846033
"satisfied","Loyal Customer",33,"Personal Travel","Eco",2455,5,4,5,4,5,5,5,5,3,1,4,4,4,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1559,5,4,5,4,4,5,4,4,4,3,5,5,5,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",52,"Personal Travel","Eco Plus",2132,5,4,5,5,2,5,2,2,5,2,5,4,5,2,21,12,FALSE,-9.31329578978486
"satisfied","Loyal Customer",29,"Personal Travel","Eco",2385,5,5,5,1,4,5,4,4,3,2,4,3,5,4,26,22,FALSE,-4.20754139044712
"satisfied","Loyal Customer",18,"Personal Travel","Business",2291,5,5,5,1,3,5,3,3,5,5,4,5,5,3,0,13,FALSE,12.2425357329967
"satisfied","Loyal Customer",13,"Personal Travel","Eco",1730,5,5,5,2,3,5,3,3,5,4,5,5,5,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",24,"Personal Travel","Eco",1087,5,5,5,2,5,5,1,5,3,4,4,3,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",12,"Personal Travel","Eco",2165,5,5,5,3,4,5,4,4,5,3,4,3,4,4,4,9,FALSE,4.32713925246684
"satisfied","Loyal Customer",24,"Personal Travel","Eco",2192,5,5,5,4,4,5,4,4,5,3,5,4,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",44,"Personal Travel","Eco",2001,5,5,5,4,2,5,3,2,3,4,4,4,4,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",40,"Personal Travel","Eco",1498,5,5,5,4,3,5,3,3,3,2,5,4,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",35,"Personal Travel","Eco",2051,5,5,5,4,2,5,2,2,3,5,4,4,5,2,2,3,FALSE,0.284837492731745
"satisfied","disloyal Customer",24,"Business travel","Eco",2050,0,0,0,1,3,0,3,3,3,4,2,2,3,3,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",21,"Business travel","Business",2277,0,0,0,1,4,0,4,4,5,5,5,5,5,4,0,5,TRUE,4.24253573299665
"satisfied","disloyal Customer",21,"Business travel","Eco",1131,0,0,0,2,3,0,3,3,1,2,5,5,5,3,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",23,"Business travel","Eco",2387,0,0,0,3,1,0,1,1,5,4,5,4,4,1,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",23,"Business travel","Business",1686,0,0,0,3,3,0,4,3,5,4,5,4,4,3,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",20,"Business travel","Eco",1842,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",25,"Business travel","Business",1562,0,0,1,4,4,1,4,4,3,2,5,4,5,4,0,2,TRUE,1.24253573299665
"satisfied","disloyal Customer",21,"Business travel","Eco",2321,0,0,1,5,1,1,1,1,2,4,5,2,3,1,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",25,"Business travel","Business",1819,0,1,0,2,3,0,3,3,4,5,5,4,5,3,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",21,"Business travel","Eco",1958,0,3,0,2,2,0,2,2,2,2,4,3,2,2,0,0,TRUE,-0.757464267003349
"satisfied","disloyal Customer",25,"Business travel","Business",2202,0,5,0,3,4,0,4,4,3,4,4,5,4,4,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",40,"Business travel","Business",1840,1,0,0,4,5,0,2,5,3,4,4,3,4,5,11,6,TRUE,-5.52480458846033
"dissatisfied","disloyal Customer",10,"Business travel","Eco",2649,1,0,0,4,5,0,5,5,4,3,4,3,4,5,24,16,TRUE,-8.24984315018221
"dissatisfied","disloyal Customer",44,"Business travel","Eco",1765,1,0,1,3,2,1,2,2,3,1,3,4,4,2,6,0,TRUE,-6.63055898779807
"dissatisfied","disloyal Customer",43,"Business travel","Eco",1937,1,0,1,4,5,1,5,5,4,2,2,3,5,5,0,1,TRUE,0.242535732996651
"dissatisfied","disloyal Customer",27,"Business travel","Eco",1601,1,0,1,4,4,1,4,4,5,5,2,1,5,4,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",38,"Business travel","Eco",1560,1,0,1,5,5,1,5,5,5,3,4,4,4,5,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",43,"Business travel","Business",3447,1,1,1,1,2,1,2,2,4,5,3,4,4,2,8,0,FALSE,-8.58825722806297
"dissatisfied","disloyal Customer",85,"Business travel","Business",2837,1,1,1,2,1,5,5,4,2,1,1,5,1,5,57,51,FALSE,-5.55186411455316
"dissatisfied","disloyal Customer",33,"Business travel","Eco",1805,1,1,1,2,3,1,3,3,4,1,1,5,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",42,"Business travel","Eco",2455,1,1,1,2,5,1,5,5,4,5,1,2,2,5,91,82,FALSE,-7.83273419905657
"dissatisfied","disloyal Customer",33,"Business travel","Business",3896,1,1,1,2,1,5,1,3,5,4,4,1,5,1,0,1,FALSE,0.242535732996651
"dissatisfied","disloyal Customer",29,"Business travel","Eco",1796,1,1,1,3,4,1,4,4,1,3,3,3,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",28,"Business travel","Eco",1992,1,1,1,3,1,1,3,3,1,4,3,3,2,3,0,13,FALSE,12.2425357329967
"dissatisfied","disloyal Customer",19,"Business travel","Eco",1976,1,1,1,3,4,1,4,4,4,5,4,3,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",29,"Business travel","Eco",2087,1,1,1,3,5,1,5,5,4,2,3,1,3,5,0,7,FALSE,6.24253573299665
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1798,1,1,1,3,2,1,2,2,1,2,2,4,3,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",19,"Business travel","Business",3455,1,1,1,3,3,1,3,3,4,3,4,1,4,3,2,0,FALSE,-2.71516250726825
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1114,1,1,1,3,4,1,4,4,1,1,4,3,3,4,4,1,FALSE,-3.67286074753316
"dissatisfied","disloyal Customer",44,"Business travel","Business",3645,1,1,1,4,2,1,2,2,3,4,5,3,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",38,"Business travel","Eco",2376,1,1,1,4,3,1,3,3,2,3,4,4,4,3,0,12,FALSE,11.2425357329967
"dissatisfied","disloyal Customer",29,"Business travel","Eco",2662,1,1,1,4,1,2,2,2,5,5,3,2,3,2,186,200,FALSE,17.1765993883605
"dissatisfied","disloyal Customer",45,"Business travel","Eco",1937,1,1,1,4,1,1,4,1,2,1,3,1,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1548,1,1,1,4,1,1,1,1,2,2,4,4,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",39,"Business travel","Business",2749,1,1,1,5,5,1,5,5,3,5,3,3,5,5,33,30,FALSE,-3.05948523137429
"dissatisfied","disloyal Customer",37,"Business travel","Business",1319,1,1,1,5,4,1,1,4,5,4,5,4,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",28,"Business travel","Business",1746,1,1,1,5,1,1,1,1,5,4,4,4,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",37,"Business travel","Business",1404,1,2,2,4,1,2,1,1,2,1,3,1,4,1,59,58,FALSE,-0.509562354818068
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1809,1,3,1,3,1,1,1,1,1,1,4,3,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",25,"Business travel","Eco Plus",1925,1,3,1,4,5,1,5,5,2,1,2,5,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1751,1,3,1,4,3,1,3,3,2,1,3,4,5,3,34,25,FALSE,-9.03833435150674
"dissatisfied","disloyal Customer",23,"Business travel","Business",1282,1,3,1,4,5,1,5,5,4,4,4,1,4,5,22,19,FALSE,-3.29214490991731
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1889,1,3,1,4,4,1,4,4,4,3,4,4,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",1461,1,4,1,2,2,1,2,2,4,3,1,1,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1434,1,5,1,2,4,1,3,4,2,1,1,1,5,4,4,0,FALSE,-4.67286074753316
"dissatisfied","disloyal Customer",40,"Business travel","Eco",1630,2,0,1,4,3,1,3,3,5,1,4,3,3,3,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",25,"Business travel","Business",3049,2,0,2,1,3,2,3,3,4,2,5,5,4,3,3,3,TRUE,-0.694011627400707
"dissatisfied","disloyal Customer",65,"Business travel","Eco",1664,2,0,2,1,2,2,2,2,1,4,2,5,4,2,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",33,"Business travel","Eco",1760,2,0,2,1,1,2,1,1,5,3,3,3,5,1,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1539,2,0,2,3,2,2,2,2,3,4,4,4,5,2,0,1,TRUE,0.242535732996651
"dissatisfied","disloyal Customer",25,"Business travel","Business",1718,2,0,2,4,4,2,4,4,5,1,3,2,1,4,50,62,TRUE,12.300079726374
"dissatisfied","disloyal Customer",26,"Business travel","Business",2732,2,0,2,5,3,2,3,3,3,2,5,5,4,3,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1059,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,11,TRUE,9.2636866128642
"dissatisfied","disloyal Customer",34,"Business travel","Eco",2374,2,1,1,2,3,1,1,3,3,1,2,1,3,3,21,21,FALSE,-0.313295789784857
"dissatisfied","disloyal Customer",38,"Business travel","Business",1568,2,1,1,3,3,1,2,3,4,2,4,5,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",36,"Business travel","Eco",2326,2,1,1,4,2,1,2,2,5,3,2,5,2,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",61,"Business travel","Eco",1875,2,1,2,3,1,2,1,1,4,3,4,2,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",30,"Business travel","Eco",2390,2,2,2,1,2,2,2,2,3,5,5,4,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",38,"Business travel","Eco",2266,2,2,2,1,2,2,2,2,5,5,2,1,4,2,0,7,FALSE,6.24253573299665
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1659,2,2,2,1,5,2,5,5,1,4,3,5,1,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2044,2,2,2,1,2,2,2,2,3,5,2,2,2,2,20,30,FALSE,9.6655533303476
"dissatisfied","disloyal Customer",26,"Business travel","Business",2220,2,2,2,1,2,2,2,2,5,3,4,5,4,2,0,8,FALSE,7.24253573299665
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2221,2,2,2,2,5,2,5,5,2,2,3,4,3,5,3,8,FALSE,4.30598837259929
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2751,2,2,2,2,2,2,2,2,3,5,2,4,2,2,106,97,FALSE,-7.51547100104334
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2412,2,2,2,2,1,2,1,1,1,4,2,2,3,1,83,88,FALSE,5.99805876200307
"dissatisfied","disloyal Customer",50,"Business travel","Business",1838,2,2,2,3,3,2,3,3,3,3,4,5,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",42,"Business travel","Business",2862,2,2,2,3,2,2,1,2,4,5,4,3,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",37,"Business travel","Business",1467,2,2,2,3,2,2,2,2,5,5,5,4,5,2,0,7,FALSE,6.24253573299665
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1562,2,2,2,3,1,2,1,1,3,1,3,4,3,1,97,94,FALSE,-1.70582891985126
"dissatisfied","disloyal Customer",59,"Business travel","Business",1851,2,2,2,4,3,2,3,3,3,2,5,5,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",55,"Business travel","Eco Plus",1403,2,2,2,4,5,2,4,5,3,4,2,3,1,5,63,59,FALSE,-3.42495883534788
"dissatisfied","disloyal Customer",49,"Business travel","Eco Plus",1776,2,2,2,4,1,2,5,1,3,3,4,4,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",45,"Business travel","Business",1883,2,2,2,4,1,2,1,1,3,3,4,5,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",44,"Business travel","Business",1623,2,2,2,4,2,2,2,2,3,3,4,1,3,2,15,21,FALSE,5.55979893100986
"satisfied","disloyal Customer",39,"Business travel","Business",1950,2,2,2,4,5,2,3,5,2,3,4,5,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",39,"Business travel","Business",2403,2,2,2,4,2,2,2,2,3,1,3,4,4,2,88,102,FALSE,15.1038131613408
"dissatisfied","disloyal Customer",39,"Business travel","Business",1834,2,2,2,4,4,2,4,4,2,4,2,1,3,4,10,13,FALSE,2.45404453167212
"dissatisfied","disloyal Customer",24,"Business travel","Eco",2281,2,2,2,4,4,2,4,4,2,2,3,4,3,4,5,0,FALSE,-5.65170986766561
"dissatisfied","disloyal Customer",38,"Business travel","Business",1328,2,2,2,4,3,2,3,3,4,4,5,5,5,3,17,9,FALSE,-8.39789930925505
"dissatisfied","disloyal Customer",37,"Business travel","Business",2334,2,2,2,4,1,2,1,1,3,2,5,4,4,1,50,10,FALSE,-39.699920273626
"dissatisfied","disloyal Customer",24,"Business travel","Eco",2205,2,2,2,4,4,2,4,4,4,2,4,3,4,4,13,8,FALSE,-5.48250282872523
"dissatisfied","disloyal Customer",25,"Business travel","Eco",2364,2,2,2,4,4,2,4,4,2,3,4,1,4,4,13,4,FALSE,-9.48250282872524
"dissatisfied","disloyal Customer",34,"Business travel","Eco",2189,2,2,2,4,4,2,4,4,4,4,4,1,4,4,7,37,FALSE,29.3905918920695
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1599,2,2,2,4,2,2,2,2,3,5,3,2,3,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",44,"Business travel","Business",1559,2,2,2,5,2,2,2,2,3,4,4,5,4,2,6,40,FALSE,33.3694410122019
"dissatisfied","disloyal Customer",39,"Business travel","Business",2160,2,2,2,5,5,2,5,5,4,5,5,5,5,5,4,0,FALSE,-4.67286074753316
"dissatisfied","disloyal Customer",22,"Business travel","Eco",1698,2,3,2,3,5,2,5,5,1,5,2,3,3,5,5,7,FALSE,1.34829013233439
"dissatisfied","disloyal Customer",17,"Business travel","Eco",1440,2,3,2,4,3,2,3,3,4,3,3,1,3,3,28,43,FALSE,14.834760369288
"dissatisfied","disloyal Customer",40,"Business travel","Business",1345,2,3,3,1,3,3,3,3,4,2,4,4,5,3,0,3,FALSE,2.24253573299665
"dissatisfied","disloyal Customer",36,"Business travel","Eco",2391,2,3,3,3,1,3,1,1,1,1,5,3,3,1,24,10,FALSE,-14.2498431501822
"dissatisfied","disloyal Customer",36,"Business travel","Eco Plus",1882,2,3,3,4,1,3,1,1,1,4,4,4,4,1,12,14,FALSE,1.49634629140722
"dissatisfied","disloyal Customer",42,"Business travel","Business",2699,2,3,3,5,5,2,4,5,5,5,4,4,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2002,2,4,2,3,3,2,3,3,5,2,4,3,4,3,10,6,FALSE,-4.54595546832788
"dissatisfied","disloyal Customer",45,"Business travel","Eco",1801,2,4,2,4,2,2,2,2,1,4,3,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",21,"Business travel","Eco",1816,2,4,2,4,1,2,2,1,1,4,3,2,3,1,9,14,FALSE,4.43289365180458
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1751,3,0,3,3,2,3,3,2,3,1,4,3,4,2,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1700,3,0,3,3,5,3,2,5,5,3,4,4,5,5,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1609,3,0,3,3,4,3,4,4,1,1,2,3,4,4,0,4,TRUE,3.24253573299665
"dissatisfied","disloyal Customer",32,"Business travel","Eco",1247,3,0,3,4,2,3,2,2,1,5,1,1,1,2,0,0,TRUE,-0.757464267003349
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1662,3,0,3,5,3,3,3,3,2,5,2,4,2,3,0,5,TRUE,4.24253573299665
"dissatisfied","disloyal Customer",24,"Business travel","Eco",1698,3,1,2,3,4,2,4,4,1,5,2,4,3,4,5,3,FALSE,-2.65170986766561
"dissatisfied","disloyal Customer",26,"Business travel","Eco",1484,3,1,3,2,3,3,3,3,3,4,2,4,2,3,0,22,FALSE,21.2425357329967
"dissatisfied","disloyal Customer",20,"Business travel","Eco",1681,3,1,3,3,5,3,3,5,2,3,4,1,4,5,20,9,FALSE,-11.3344466696524
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2222,3,1,3,4,3,3,3,3,2,4,3,4,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2728,3,2,2,3,5,2,1,5,1,5,1,2,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",40,"Business travel","Eco",1893,3,2,2,3,2,2,3,2,3,5,3,4,4,2,27,20,FALSE,-7.18639051057957
"dissatisfied","disloyal Customer",54,"Business travel","Eco",1183,3,2,2,3,4,2,4,4,3,3,3,1,2,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",49,"Business travel","Business",3849,3,2,2,4,5,3,5,5,3,4,5,5,5,5,5,0,FALSE,-5.65170986766561
"satisfied","disloyal Customer",23,"Business travel","Eco",2690,3,2,2,4,1,3,1,1,3,5,3,3,5,1,2,0,FALSE,-2.71516250726825
"dissatisfied","disloyal Customer",33,"Business travel","Eco",1905,3,2,3,3,3,3,3,3,4,1,4,2,3,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",27,"Business travel","Eco",1995,3,2,3,3,1,3,5,1,4,1,4,3,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",54,"Business travel","Business",1308,3,3,3,1,2,3,2,2,4,5,4,5,4,2,84,73,FALSE,-9.98079035812938
"dissatisfied","disloyal Customer",43,"Business travel","Eco",2274,3,3,3,1,2,3,3,2,4,4,3,3,2,2,0,0,FALSE,-0.757464267003349
"satisfied","disloyal Customer",42,"Business travel","Business",1724,3,3,3,1,2,3,2,2,3,2,5,4,4,2,2,21,FALSE,18.2848374927317
"dissatisfied","disloyal Customer",41,"Business travel","Eco Plus",3264,3,3,3,1,3,4,4,1,1,4,1,4,1,4,10,26,FALSE,15.4540445316721
"dissatisfied","disloyal Customer",39,"Business travel","Business",2210,3,3,3,1,4,3,4,4,5,5,5,5,5,4,8,4,FALSE,-4.58825722806297
"dissatisfied","disloyal Customer",26,"Business travel","Business",1702,3,3,3,1,3,3,1,3,4,3,4,3,2,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",50,"Business travel","Business",1860,3,3,3,2,4,3,4,4,5,1,4,5,1,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",49,"Business travel","Eco Plus",1597,3,3,3,2,1,3,1,1,1,5,3,4,2,1,2,9,FALSE,6.28483749273174
"dissatisfied","disloyal Customer",47,"Business travel","Business",1924,3,3,3,2,1,3,1,1,3,4,4,5,4,1,12,9,FALSE,-3.50365370859278
"dissatisfied","disloyal Customer",23,"Business travel","Eco",2557,3,3,3,2,2,3,2,2,3,1,3,1,3,2,0,6,FALSE,5.24253573299665
"dissatisfied","disloyal Customer",30,"Business travel","Eco Plus",1627,3,3,3,2,5,3,5,5,3,2,3,1,3,5,14,21,FALSE,6.53864805114231
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2265,3,3,3,2,3,3,4,3,2,3,1,2,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",21,"Business travel","Eco",2445,3,3,3,2,1,3,1,1,2,1,3,4,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",27,"Business travel","Business",1876,3,3,3,2,2,3,2,2,5,3,4,3,5,2,68,61,FALSE,-6.31920443601014
"dissatisfied","disloyal Customer",26,"Business travel","Business",1777,3,3,3,2,5,3,5,5,4,4,5,4,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",3205,3,3,3,3,2,3,2,2,4,2,2,2,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",10,"Business travel","Eco",2959,3,3,3,3,2,3,2,2,2,1,1,1,2,2,33,18,FALSE,-15.0594852313743
"dissatisfied","disloyal Customer",41,"Business travel","Business",1063,3,3,3,3,3,3,3,3,3,5,3,4,4,3,9,7,FALSE,-2.56710634819542
"dissatisfied","disloyal Customer",41,"Business travel","Eco",2505,3,3,3,3,5,3,5,5,4,1,4,5,3,5,1,0,FALSE,-1.7363133871358
"dissatisfied","disloyal Customer",36,"Business travel","Business",4332,3,3,3,3,3,3,3,3,5,5,3,3,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",1717,3,3,3,3,2,3,2,2,4,1,1,4,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2401,3,3,3,3,1,3,1,1,3,4,5,3,5,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",35,"Business travel","Business",1584,3,3,3,3,2,3,1,2,3,2,5,4,5,2,5,0,FALSE,-5.65170986766561
"dissatisfied","disloyal Customer",35,"Business travel","Business",1171,3,3,3,3,3,3,3,3,5,3,4,4,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",34,"Business travel","Business",1442,3,3,3,3,5,3,5,5,5,2,4,3,5,5,27,31,FALSE,3.81360948942043
"dissatisfied","disloyal Customer",29,"Business travel","Business",2641,3,3,3,3,1,3,1,1,4,4,5,4,5,1,7,25,FALSE,17.3905918920695
"dissatisfied","disloyal Customer",21,"Business travel","Eco",2371,3,3,3,3,5,3,4,5,2,2,3,3,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2199,3,3,3,3,4,3,2,4,2,4,3,4,2,4,35,30,FALSE,-5.0171834716392
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1966,3,3,3,3,5,3,5,5,2,1,3,3,3,5,5,4,FALSE,-1.65170986766561
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2203,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,15,FALSE,14.2425357329967
"dissatisfied","disloyal Customer",42,"Business travel","Eco",1663,3,3,3,3,5,3,5,5,3,3,4,4,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",37,"Business travel","Eco",1852,3,3,3,3,3,3,3,2,2,3,3,3,2,3,152,163,FALSE,13.4574694728638
"dissatisfied","disloyal Customer",48,"Business travel","Business",1911,3,3,3,4,2,3,1,2,1,3,4,3,3,2,11,6,FALSE,-5.52480458846033
"dissatisfied","disloyal Customer",44,"Business travel","Eco",2187,3,3,3,4,4,3,4,4,4,1,4,3,3,4,38,27,FALSE,-10.9537308320366
"dissatisfied","disloyal Customer",36,"Business travel","Business",3132,3,3,3,4,3,3,3,3,4,3,3,3,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",50,"Business travel","Eco",2873,3,3,3,4,4,3,4,4,3,1,4,2,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",27,"Business travel","Eco",2282,3,3,3,4,4,3,4,4,1,3,4,2,1,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1693,3,3,3,4,4,3,4,4,4,4,4,3,4,4,23,47,FALSE,23.7290059699502
"dissatisfied","disloyal Customer",23,"Business travel","Eco",1993,3,3,3,4,5,3,5,5,1,4,4,3,4,5,1,0,FALSE,-1.7363133871358
"dissatisfied","disloyal Customer",24,"Business travel","Business",1946,3,3,3,4,3,3,3,3,2,1,3,1,3,3,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",77,"Business travel","Eco",1201,3,3,3,4,2,3,2,2,4,1,3,3,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",22,"Business travel","Eco",2645,3,3,3,5,4,3,4,4,4,3,4,4,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",27,"Business travel","Eco Plus",2114,3,3,3,5,4,3,4,4,2,4,5,5,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",21,"Business travel","Eco",2412,3,3,3,5,1,3,1,1,5,5,3,2,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",30,"Business travel","Eco",1790,3,4,3,1,3,3,3,3,2,1,3,4,1,3,19,10,FALSE,-9.35559754951995
"dissatisfied","disloyal Customer",9,"Business travel","Eco",1932,3,4,3,3,1,3,1,1,1,1,3,1,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",23,"Business travel","Business",2148,3,4,3,3,4,3,4,4,4,1,4,2,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",43,"Business travel","Eco",1330,3,4,3,4,4,3,4,4,1,3,4,1,3,4,2,2,FALSE,-0.715162507268255
"dissatisfied","disloyal Customer",45,"Business travel","Eco",2293,3,4,4,1,2,4,2,2,3,3,4,5,3,2,0,0,FALSE,-0.757464267003349
"dissatisfied","disloyal Customer",47,"Business travel","Eco Plus",1428,3,4,4,3,5,3,1,5,1,1,3,3,3,5,0,0,FALSE,-0.757464267003349
"satisfied","disloyal Customer",41,"Business travel","Business",2300,3,4,4,3,3,4,5,3,5,5,4,5,4,5,206,208,FALSE,5.59961698571142
"dissatisfied","disloyal Customer",25,"Business travel","Eco",1991,3,4,4,3,3,4,3,3,4,1,4,3,4,3,51,59,FALSE,8.32123060624155
